user_id,user_email,user_first_name,user_last_name,user_dob,user_role,user_phone,user_city,user_state,user_zip,user_school,user_employer,user_field_of_interest,user_password
27,abigail.clark32@learners.net,Abigail,Clark,5/10/03,participant,801-885-6147,Layton,UT,84210,BYU,,Arts,default
28,elizabeth.jones34@studentmail.org,Elizabeth,Jones,7/18/99,participant,801-335-6718,Pleasant Grove,UT,84272,,Startup Lab,STEM,default
29,zoe.jackson35@studentmail.org,Zoe,Jackson,9/20/11,participant,801-756-5956,Riverton,UT,84854,,Retail Store,Both,default
30,mason.smith36@learners.net,Mason,Smith,8/3/00,participant,801-337-5333,Logan,UT,84962,,Startup Lab,STEM,default
31,scarlett.moore37@learners.net,Scarlett,Moore,6/2/13,participant,801-551-4335,Sandy,UT,84735,,Tech Apprenticeship,Arts,default
32,mateo.young38@learners.net,Mateo,Young,3/16/04,participant,801-849-7939,Provo,UT,84095,Westview High,,STEM,default
33,skylar.rodriguez39@learners.net,Skylar,Rodriguez,7/31/10,participant,801-652-8007,Orem,UT,84760,Westview High,,STEM,default
34,evelyn.martinez40@ellarises.org,Evelyn,Martinez,8/22/07,participant,801-765-3426,Draper,UT,84597,North Summit High,,STEM,default
35,bella.white41@ellarises.org,Bella,White,12/16/12,participant,801-898-5088,Draper,UT,84216,East Ridge Middle,,Arts,default
36,noah.flores42@studentmail.org,Noah,Flores,4/1/07,participant,801-366-3900,West Jordan,UT,84886,Westview High,,STEM,default
37,skylar.clark43@studentmail.org,Skylar,Clark,7/31/06,participant,801-918-2771,Layton,UT,84164,,Community Center,STEM,default
38,jack.anderson44@studentmail.org,Jack,Anderson,1/1/03,participant,801-512-4728,Riverton,UT,84359,Westview High,,Both,default
39,zoey.sanchez45@learners.net,Zoey,Sanchez,11/16/05,participant,801-271-5573,Layton,UT,84886,,Tech Apprenticeship,Both,default
40,liam.wright46@learners.net,Liam,Wright,1/9/11,participant,801-467-3925,Salt Lake City,UT,84119,BYU,,STEM,default
41,mila.hill47@community.org,Mila,Hill,8/7/11,participant,801-521-8149,Draper,UT,84747,,Cafe Rio,STEM,default
42,hazel.torres48@studentmail.org,Hazel,Torres,1/14/98,participant,801-925-8144,Layton,UT,84046,,Cafe Rio,Both,default
43,avery.martin50@learners.net,Avery,Martin,6/8/10,participant,801-612-5844,Taylorsville,UT,84335,North Summit High,,STEM,default
44,oliver.harris51@studentmail.org,Oliver,Harris,10/25/04,participant,801-761-1006,Murray,UT,84416,BYU,,STEM,default
45,william.nguyen52@learners.net,William,Nguyen,6/19/09,participant,801-652-4501,Riverton,UT,84453,Mountain View High,,Both,default
46,chloe.garcia53@learners.net,Chloe,Garcia,2/5/00,participant,801-848-6491,Pleasant Grove,UT,84680,,Community Center,STEM,default
47,bella.anderson54@studentmail.org,Bella,Anderson,8/28/08,participant,801-247-5011,St. George,UT,84026,,Local Library,STEM,default
48,benjamin.clark55@studentmail.org,Benjamin,Clark,4/23/01,participant,801-609-4997,Bountiful,UT,84507,,Tech Apprenticeship,Both,default
49,ava.miller56@community.org,Ava,Miller,6/2/08,participant,801-912-9486,West Jordan,UT,84181,Westview High,,Both,default
50,addison.davis57@community.org,Addison,Davis,7/15/10,participant,801-675-9702,St. George,UT,84821,,Local Library,Arts,default
51,henry.flores58@community.org,Henry,Flores,2/4/08,participant,801-362-8777,Riverton,UT,84919,BYU,,STEM,default
52,penelope.king59@community.org,Penelope,King,1/2/14,participant,801-650-2269,West Jordan,UT,84282,BYU,,STEM,default
53,paisley.perez60@learners.net,Paisley,Perez,8/4/06,participant,801-354-4788,Ogden,UT,84142,,Art Studio,STEM,default
54,hannah.jones61@community.org,Hannah,Jones,4/30/07,participant,801-755-8633,Taylorsville,UT,84339,Westview High,,STEM,default
55,oliver.harris62@ellarises.org,Oliver,Harris,9/12/04,participant,801-206-6763,Bountiful,UT,84489,,Retail Store,Arts,default
56,oliver.wright63@studentmail.org,Oliver,Wright,11/22/08,participant,801-479-8140,Spanish Fork,UT,84225,Westview High,,Arts,default
57,violet.sanchez64@studentmail.org,Violet,Sanchez,8/9/98,participant,801-330-9751,Riverton,UT,84942,,Startup Lab,Arts,default
58,sophia.garcia65@community.org,Sophia,Garcia,2/16/99,participant,801-672-3977,St. George,UT,84888,BYU,,Arts,default
59,claire.wilson66@community.org,Claire,Wilson,3/29/04,participant,801-979-7211,Lehi,UT,84346,,Retail Store,Arts,default
60,eleanor.garcia67@community.org,Eleanor,Garcia,11/6/05,participant,801-752-1853,Salt Lake City,UT,84768,Valley Charter,,Both,default
61,harper.williams68@ellarises.org,Harper,Williams,5/9/03,participant,801-220-3496,West Jordan,UT,84205,North Summit High,,Arts,default
62,ella.torres69@studentmail.org,Ella,Torres,10/6/01,participant,801-462-7043,Riverton,UT,84717,,Local Library,Both,default
63,ella.hernandez70@learners.net,Ella,Hernandez,11/30/10,participant,801-226-6111,Logan,UT,84593,,Tech Apprenticeship,Arts,default
64,james.gonzalez71@ellarises.org,James,Gonzalez,5/7/13,participant,801-913-5941,West Jordan,UT,84105,,Local Library,STEM,default
65,mia.thompson72@community.org,Mia,Thompson,4/14/98,participant,801-718-6590,Draper,UT,84071,,Community Center,Arts,default
66,alexander.miller73@community.org,Alexander,Miller,10/8/07,participant,801-670-3506,Draper,UT,84651,North Summit High,,Both,default
67,michael.moore74@community.org,Michael,Moore,3/25/05,participant,801-948-5397,Riverton,UT,84447,,Community Center,STEM,default
68,emily.moore75@community.org,Emily,Moore,7/18/05,participant,801-675-7209,West Jordan,UT,84769,Westview High,,Arts,default
69,penelope.scott77@ellarises.org,Penelope,Scott,6/1/03,participant,801-395-2402,Pleasant Grove,UT,84971,,Art Studio,Arts,default
70,alexander.scott78@studentmail.org,Alexander,Scott,1/20/08,participant,801-928-9041,Spanish Fork,UT,84662,,Retail Store,STEM,default
71,emily.jackson79@studentmail.org,Emily,Jackson,11/22/12,participant,801-449-6016,Bountiful,UT,84709,,Local Library,Arts,default
72,jack.scott80@learners.net,Jack,Scott,11/22/05,participant,801-763-6419,Taylorsville,UT,84764,,Art Studio,Arts,default
73,sebastian.lopez82@studentmail.org,Sebastian,Lopez,4/2/14,participant,801-695-5530,Sandy,UT,84757,,Local Library,Both,default
74,aurora.miller83@studentmail.org,Aurora,Miller,10/12/04,participant,801-569-3939,Murray,UT,84233,Westview High,,Both,default
75,sebastian.rodriguez84@learners.net,Sebastian,Rodriguez,8/23/13,participant,801-255-5786,Provo,UT,84998,North Summit High,,Both,default
76,alexander.miller85@ellarises.org,Alexander,Miller,8/23/05,participant,801-690-8216,Murray,UT,84481,North Summit High,,STEM,default
77,eleanor.walker86@ellarises.org,Eleanor,Walker,12/10/10,participant,801-703-2213,Ogden,UT,84411,,Tech Apprenticeship,Both,default
78,victoria.king88@community.org,Victoria,King,3/15/11,participant,801-653-5871,Riverton,UT,84931,SLCC,,Arts,default
79,amelia.flores89@ellarises.org,Amelia,Flores,10/24/12,participant,801-416-5335,Sandy,UT,84641,East Ridge Middle,,STEM,default
80,lillian.lopez90@ellarises.org,Lillian,Lopez,6/18/13,participant,801-618-8381,Orem,UT,84003,,Local Library,Arts,default
81,savannah.williams91@studentmail.org,Savannah,Williams,8/7/99,participant,801-489-8438,Murray,UT,84724,,Tech Apprenticeship,STEM,default
82,lucy.nguyen92@studentmail.org,Lucy,Nguyen,7/11/12,participant,801-757-4683,Taylorsville,UT,84118,North Summit High,,Arts,default
83,aria.jones93@ellarises.org,Aria,Jones,11/7/07,participant,801-514-5728,Orem,UT,84812,East Ridge Middle,,Arts,default
84,brooklyn.sanchez94@learners.net,Brooklyn,Sanchez,10/21/99,participant,801-705-8172,Pleasant Grove,UT,84553,,Local Library,STEM,default
85,william.lee95@learners.net,William,Lee,1/29/13,participant,801-434-1339,Salt Lake City,UT,84094,,Community Center,Arts,default
86,mia.lopez96@community.org,Mia,Lopez,1/26/02,participant,801-652-5557,Pleasant Grove,UT,84668,,Local Library,Arts,default
87,alexander.garcia97@community.org,Alexander,Garcia,1/11/13,participant,801-541-6260,Draper,UT,84419,East Ridge Middle,,STEM,default
88,skylar.clark98@community.org,Skylar,Clark,3/14/08,participant,801-610-1601,Murray,UT,84679,East Ridge Middle,,Arts,default
89,eleanor.lee99@ellarises.org,Eleanor,Lee,10/1/12,participant,801-726-1018,Bountiful,UT,84886,,Community Center,Both,default
90,theodore.clark100@ellarises.org,Theodore,Clark,1/11/12,participant,801-570-9167,Sandy,UT,84531,Mountain View High,,STEM,default
91,grace.moore101@studentmail.org,Grace,Moore,9/21/00,participant,801-915-8941,Murray,UT,84449,Westview High,,Both,default
92,lillian.hernandez102@learners.net,Lillian,Hernandez,1/15/03,participant,801-617-2527,Salt Lake City,UT,84566,,Community Center,STEM,default
93,oliver.walker104@community.org,Oliver,Walker,8/9/06,participant,801-764-3369,West Jordan,UT,84468,Valley Charter,,Both,default
94,daniel.rodriguez105@ellarises.org,Daniel,Rodriguez,5/22/09,participant,801-624-6568,Layton,UT,84792,BYU,,STEM,default
95,aurora.martin106@community.org,Aurora,Martin,9/28/05,participant,801-751-8935,St. George,UT,84458,UVU,,Both,default
96,ethan.harris107@community.org,Ethan,Harris,10/29/10,participant,801-393-4912,Lehi,UT,84891,SLCC,,STEM,default
97,noah.williams108@learners.net,Noah,Williams,11/19/12,participant,801-590-7325,Spanish Fork,UT,84723,,Retail Store,Both,default
98,scarlett.young109@ellarises.org,Scarlett,Young,4/2/00,participant,801-804-6439,St. George,UT,84515,,Community Center,Arts,default
99,elizabeth.king110@community.org,Elizabeth,King,9/7/12,participant,801-347-7717,Salt Lake City,UT,84740,North Summit High,,STEM,default
100,jack.taylor111@learners.net,Jack,Taylor,2/15/13,participant,801-282-6383,Bountiful,UT,84666,,Community Center,Both,default
101,leah.lee112@community.org,Leah,Lee,2/27/12,participant,801-270-4846,Provo,UT,84633,,Tech Apprenticeship,Arts,default
102,madison.garcia113@community.org,Madison,Garcia,12/14/07,participant,801-848-2646,Logan,UT,84779,North Summit High,,Both,default
103,brooklyn.johnson114@ellarises.org,Brooklyn,Johnson,1/15/06,participant,801-257-5806,Lehi,UT,84816,UVU,,Arts,default
104,aria.thomas115@community.org,Aria,Thomas,9/2/11,participant,801-379-2293,Orem,UT,84175,,Community Center,Arts,default
105,lillian.young116@studentmail.org,Lillian,Young,4/22/08,participant,801-853-5161,West Jordan,UT,84473,BYU,,Both,default
106,olivia.robinson117@learners.net,Olivia,Robinson,3/7/11,participant,801-652-6661,Orem,UT,84076,BYU,,Both,default
107,elijah.taylor118@community.org,Elijah,Taylor,5/23/00,participant,801-593-8916,Murray,UT,84204,Valley Charter,,Arts,default
108,stella.torres119@learners.net,Stella,Torres,2/27/04,participant,801-874-7484,Murray,UT,84023,Westview High,,Both,default
109,charlotte.hill120@community.org,Charlotte,Hill,11/30/02,participant,801-435-6772,Murray,UT,84795,,Tech Apprenticeship,STEM,default
110,eleanor.rodriguez121@ellarises.org,Eleanor,Rodriguez,12/31/10,participant,801-651-1546,Provo,UT,84317,UVU,,Both,default
111,sofia.garcia122@learners.net,Sofia,Garcia,7/3/02,participant,801-625-3877,Lehi,UT,84766,North Summit High,,Both,default
112,natalie.king123@learners.net,Natalie,King,9/29/14,participant,801-693-5835,Orem,UT,84264,,Community Center,Arts,default
113,ella.robinson124@ellarises.org,Ella,Robinson,7/2/10,participant,801-431-7511,St. George,UT,84773,UVU,,STEM,default
114,james.smith125@learners.net,James,Smith,2/10/11,participant,801-577-5295,Logan,UT,84466,SLCC,,Both,default
115,zoe.miller126@studentmail.org,Zoe,Miller,9/7/11,participant,801-834-6374,Spanish Fork,UT,84026,Valley Charter,,Both,default
116,harper.robinson127@learners.net,Harper,Robinson,11/1/98,participant,801-343-1742,Taylorsville,UT,84120,BYU,,Arts,default
117,ella.miller128@studentmail.org,Ella,Miller,1/14/13,participant,801-664-7078,St. George,UT,84398,,Art Studio,Both,default
118,ethan.clark129@studentmail.org,Ethan,Clark,10/23/11,participant,801-301-9017,Taylorsville,UT,84671,SLCC,,Arts,default
119,isabella.white130@studentmail.org,Isabella,White,3/24/00,participant,801-441-6942,Riverton,UT,84456,,Tech Apprenticeship,Arts,default
120,ethan.thompson131@ellarises.org,Ethan,Thompson,3/14/08,participant,801-394-3001,Bountiful,UT,84283,East Ridge Middle,,Both,default
121,hannah.hill132@ellarises.org,Hannah,Hill,10/28/00,participant,801-541-4990,Provo,UT,84806,,Retail Store,Both,default
122,grace.jones133@studentmail.org,Grace,Jones,4/23/01,participant,801-438-6383,Sandy,UT,84833,,Retail Store,Both,default
123,ava.moore134@studentmail.org,Ava,Moore,6/19/00,participant,801-456-3858,St. George,UT,84554,,Tech Apprenticeship,STEM,default
124,sofia.smith135@learners.net,Sofia,Smith,11/28/01,participant,801-531-1258,West Jordan,UT,84603,BYU,,STEM,default
125,sofia.clark136@ellarises.org,Sofia,Clark,7/6/09,participant,801-659-6931,Ogden,UT,84488,,Local Library,STEM,default
126,lucas.allen137@studentmail.org,Lucas,Allen,10/6/04,participant,801-874-9543,Provo,UT,84745,Mountain View High,,Both,default
127,sophia.brown138@community.org,Sophia,Brown,12/30/08,participant,801-902-2768,Bountiful,UT,84437,,Art Studio,Arts,default
128,evelyn.garcia139@learners.net,Evelyn,Garcia,1/2/12,participant,801-329-5505,St. George,UT,84068,,Tech Apprenticeship,Both,default
129,claire.harris140@learners.net,Claire,Harris,3/23/00,participant,801-819-8048,Riverton,UT,84518,,Retail Store,Both,default
130,ella.scott141@studentmail.org,Ella,Scott,8/8/05,participant,801-433-7779,Taylorsville,UT,84463,,Community Center,Arts,default
131,liam.clark142@ellarises.org,Liam,Clark,5/25/06,participant,801-520-5176,Lehi,UT,84438,North Summit High,,Both,default
132,jack.jones143@ellarises.org,Jack,Jones,9/13/14,participant,801-642-2582,Ogden,UT,84096,,Art Studio,Arts,default
133,sofia.scott144@ellarises.org,Sofia,Scott,12/6/05,participant,801-325-7730,Lehi,UT,84687,,Community Center,Both,default
134,elijah.brown145@learners.net,Elijah,Brown,10/9/02,participant,801-306-9313,Murray,UT,84361,North Summit High,,Both,default
135,victoria.ramirez147@ellarises.org,Victoria,Ramirez,10/5/13,participant,801-384-5477,Layton,UT,84030,,Retail Store,Arts,default
136,violet.thompson148@ellarises.org,Violet,Thompson,7/25/99,participant,801-346-7566,Orem,UT,84891,North Summit High,,Both,default
137,sophia.garcia149@studentmail.org,Sophia,Garcia,7/13/01,participant,801-664-6585,Bountiful,UT,84430,UVU,,Arts,default
138,claire.torres150@ellarises.org,Claire,Torres,2/12/13,participant,801-361-1815,Provo,UT,84160,East Ridge Middle,,Arts,default
139,henry.ramirez151@community.org,Henry,Ramirez,12/7/14,participant,801-479-4531,Riverton,UT,84425,,Cafe Rio,STEM,default
140,kennedy.ramirez152@ellarises.org,Kennedy,Ramirez,10/26/09,participant,801-894-8972,Murray,UT,84695,,Tech Apprenticeship,Arts,default
141,mia.anderson153@community.org,Mia,Anderson,9/27/02,participant,801-409-5938,Provo,UT,84008,,Retail Store,STEM,default
142,eleanor.jackson154@learners.net,Eleanor,Jackson,12/10/01,participant,801-709-8055,Logan,UT,84008,North Summit High,,Arts,default
143,sebastian.anderson155@learners.net,Sebastian,Anderson,10/14/07,participant,801-959-1693,Ogden,UT,84407,Westview High,,Arts,default
144,evelyn.lee156@community.org,Evelyn,Lee,6/29/04,participant,801-855-7843,Bountiful,UT,84727,East Ridge Middle,,Arts,default
145,emma.lee157@studentmail.org,Emma,Lee,12/23/99,participant,801-906-6928,Riverton,UT,84852,SLCC,,STEM,default
146,addison.ramirez158@community.org,Addison,Ramirez,9/23/14,participant,801-605-6083,Pleasant Grove,UT,84081,UVU,,STEM,default
147,skylar.hernandez159@ellarises.org,Skylar,Hernandez,6/9/09,participant,801-316-9693,Pleasant Grove,UT,84649,Valley Charter,,Arts,default
148,kennedy.martinez160@studentmail.org,Kennedy,Martinez,11/22/01,participant,801-462-4232,Logan,UT,84150,,Local Library,STEM,default
149,evelyn.lopez161@community.org,Evelyn,Lopez,4/11/13,participant,801-777-8354,Riverton,UT,84773,,Startup Lab,Both,default
150,claire.lee162@studentmail.org,Claire,Lee,2/29/12,participant,801-680-8245,Riverton,UT,84070,BYU,,Arts,default
151,amelia.thompson163@ellarises.org,Amelia,Thompson,4/12/99,participant,801-662-1616,Murray,UT,84473,UVU,,Arts,default
152,evelyn.garcia164@community.org,Evelyn,Garcia,2/2/08,participant,801-767-1672,Riverton,UT,84595,,Startup Lab,Both,default
153,zoey.lee165@community.org,Zoey,Lee,4/27/00,participant,801-263-8381,Pleasant Grove,UT,84155,,Retail Store,Arts,default
154,abigail.allen166@studentmail.org,Abigail,Allen,11/9/07,participant,801-924-8172,Provo,UT,84254,,Cafe Rio,Both,default
155,lily.white167@learners.net,Lily,White,3/24/13,participant,801-618-6543,Murray,UT,84397,,Local Library,STEM,default
156,skylar.jones168@learners.net,Skylar,Jones,5/16/04,participant,801-894-7333,Logan,UT,84572,BYU,,Both,default
157,scarlett.perez169@ellarises.org,Scarlett,Perez,9/18/12,participant,801-558-6082,St. George,UT,84939,,Art Studio,Both,default
158,james.rodriguez170@ellarises.org,James,Rodriguez,11/12/00,participant,801-585-6381,Murray,UT,84573,,Tech Apprenticeship,Both,default
159,mason.garcia171@community.org,Mason,Garcia,12/5/04,participant,801-218-6940,Pleasant Grove,UT,84371,North Summit High,,STEM,default
160,violet.young172@studentmail.org,Violet,Young,8/20/04,participant,801-358-2264,West Jordan,UT,84141,,Community Center,STEM,default
161,mateo.wright173@ellarises.org,Mateo,Wright,5/25/11,participant,801-984-3147,Lehi,UT,84898,SLCC,,STEM,default
162,lily.lopez174@studentmail.org,Lily,Lopez,3/3/13,participant,801-620-6968,Riverton,UT,84045,,Art Studio,STEM,default
163,henry.flores175@learners.net,Henry,Flores,12/10/04,participant,801-746-4918,Riverton,UT,84240,,Retail Store,Arts,default
164,zoey.white176@community.org,Zoey,White,4/12/09,participant,801-488-7256,Riverton,UT,84788,,Cafe Rio,Arts,default
165,lily.gonzalez177@studentmail.org,Lily,Gonzalez,4/29/06,participant,801-856-8873,Layton,UT,84054,,Cafe Rio,STEM,default
166,michael.davis178@learners.net,Michael,Davis,1/29/08,participant,801-364-5469,Ogden,UT,84782,,Startup Lab,Both,default
167,aria.ramirez179@ellarises.org,Aria,Ramirez,8/7/98,participant,801-661-6727,West Jordan,UT,84837,SLCC,,STEM,default
168,james.allen180@learners.net,James,Allen,1/14/03,participant,801-283-7142,West Jordan,UT,84396,Westview High,,Arts,default
169,elizabeth.perez181@studentmail.org,Elizabeth,Perez,8/12/13,participant,801-493-8740,St. George,UT,84040,,Community Center,STEM,default
170,jack.lewis182@ellarises.org,Jack,Lewis,5/9/01,participant,801-462-4533,Ogden,UT,84020,,Cafe Rio,Both,default
171,mason.ramirez183@ellarises.org,Mason,Ramirez,1/27/99,participant,801-508-2996,Murray,UT,84244,Valley Charter,,Arts,default
172,benjamin.jones184@ellarises.org,Benjamin,Jones,3/4/12,participant,801-748-1269,Spanish Fork,UT,84612,,Cafe Rio,Both,default
173,lillian.martinez185@learners.net,Lillian,Martinez,5/25/03,participant,801-829-6780,Taylorsville,UT,84002,,Local Library,Arts,default
174,riley.garcia186@learners.net,Riley,Garcia,5/19/09,participant,801-738-9914,Ogden,UT,84977,,Retail Store,Both,default
175,emma.harris187@community.org,Emma,Harris,9/9/03,participant,801-596-7116,Provo,UT,84651,,Art Studio,STEM,default
176,stella.jones188@learners.net,Stella,Jones,1/19/11,participant,801-872-2698,West Jordan,UT,84751,,Art Studio,Arts,default
177,camila.williams189@learners.net,Camila,Williams,5/10/13,participant,801-858-3868,Lehi,UT,84834,Mountain View High,,Both,default
178,levi.lopez190@studentmail.org,Levi,Lopez,10/30/98,participant,801-994-8498,Ogden,UT,84734,BYU,,STEM,default
179,mia.gonzalez191@ellarises.org,Mia,Gonzalez,12/7/06,participant,801-517-9444,Lehi,UT,84956,,Community Center,Both,default
180,jack.taylor192@ellarises.org,Jack,Taylor,9/15/12,participant,801-565-1783,Sandy,UT,84293,UVU,,Arts,default
181,avery.white193@community.org,Avery,White,8/9/05,participant,801-650-7334,Bountiful,UT,84762,North Summit High,,Arts,default
182,jackson.white194@learners.net,Jackson,White,8/29/07,participant,801-634-2293,Ogden,UT,84745,,Local Library,STEM,default
183,ethan.jackson195@learners.net,Ethan,Jackson,11/15/04,participant,801-535-5843,Logan,UT,84082,Mountain View High,,Both,default
184,amelia.jones197@community.org,Amelia,Jones,9/13/98,participant,801-967-3621,Draper,UT,84526,North Summit High,,Both,default
185,henry.williams198@studentmail.org,Henry,Williams,2/14/06,participant,801-997-7001,Ogden,UT,84242,SLCC,,Both,default
186,isabella.hill199@studentmail.org,Isabella,Hill,12/16/07,participant,801-579-7095,Riverton,UT,84972,,Retail Store,STEM,default
187,camila.king200@learners.net,Camila,King,8/7/03,participant,801-865-5566,Bountiful,UT,84322,East Ridge Middle,,STEM,default
188,riley.young201@community.org,Riley,Young,10/16/13,participant,801-993-5264,Logan,UT,84269,Mountain View High,,STEM,default
189,henry.garcia203@learners.net,Henry,Garcia,7/6/04,participant,801-266-9882,Draper,UT,84727,,Startup Lab,Arts,default
190,lily.lopez204@learners.net,Lily,Lopez,2/11/01,participant,801-324-4292,Pleasant Grove,UT,84230,Valley Charter,,Arts,default
191,sophia.white205@learners.net,Sophia,White,9/23/11,participant,801-764-3126,Riverton,UT,84823,,Startup Lab,STEM,default
192,harper.martin206@community.org,Harper,Martin,11/23/10,participant,801-620-7708,Spanish Fork,UT,84539,East Ridge Middle,,STEM,default
193,aaliyah.jones207@community.org,Aaliyah,Jones,11/17/00,participant,801-729-6644,Riverton,UT,84697,,Startup Lab,Both,default
194,riley.rodriguez208@community.org,Riley,Rodriguez,8/15/09,participant,801-256-3034,Pleasant Grove,UT,84933,North Summit High,,Arts,default
195,penelope.rodriguez210@learners.net,Penelope,Rodriguez,4/11/11,participant,801-856-3762,Ogden,UT,84515,,Local Library,STEM,default
196,chloe.flores211@learners.net,Chloe,Flores,1/8/99,participant,801-229-2330,Provo,UT,84846,,Tech Apprenticeship,Both,default
197,lucy.wilson212@community.org,Lucy,Wilson,6/30/04,participant,801-842-9938,Salt Lake City,UT,84510,,Tech Apprenticeship,Arts,default
198,levi.thomas213@community.org,Levi,Thomas,7/18/01,participant,801-274-1981,Murray,UT,84465,Mountain View High,,Arts,default
199,levi.robinson214@studentmail.org,Levi,Robinson,2/10/14,participant,801-347-6121,Lehi,UT,84622,UVU,,Both,default
200,kennedy.sanchez215@studentmail.org,Kennedy,Sanchez,2/27/05,participant,801-775-2739,Draper,UT,84528,Valley Charter,,Arts,default
201,avery.moore216@community.org,Avery,Moore,7/5/04,participant,801-299-1829,West Jordan,UT,84145,SLCC,,Both,default
202,oliver.thomas217@studentmail.org,Oliver,Thomas,4/5/02,participant,801-791-6123,Lehi,UT,84957,,Retail Store,STEM,default
203,jackson.allen218@community.org,Jackson,Allen,7/9/98,participant,801-515-9148,Spanish Fork,UT,84901,East Ridge Middle,,Arts,default
204,mateo.robinson219@studentmail.org,Mateo,Robinson,2/19/99,participant,801-561-1797,Sandy,UT,84598,BYU,,Arts,default
205,jack.jackson220@ellarises.org,Jack,Jackson,4/26/14,participant,801-337-5333,Logan,UT,84442,UVU,,Arts,default
206,natalie.williams221@community.org,Natalie,Williams,2/17/06,participant,801-775-4189,Provo,UT,84584,,Cafe Rio,Arts,default
207,evelyn.harris222@community.org,Evelyn,Harris,11/20/00,participant,801-838-2946,Layton,UT,84846,East Ridge Middle,,Arts,default
208,zoe.perez223@learners.net,Zoe,Perez,1/2/07,participant,801-816-9341,St. George,UT,84204,,Cafe Rio,STEM,default
209,mia.williams224@studentmail.org,Mia,Williams,4/1/08,participant,801-685-9508,Lehi,UT,84824,North Summit High,,Both,default
210,daniel.rodriguez225@learners.net,Daniel,Rodriguez,4/26/11,participant,801-602-5902,Lehi,UT,84167,UVU,,Both,default
211,daniel.wright226@community.org,Daniel,Wright,6/6/05,participant,801-217-7035,Murray,UT,84487,,Tech Apprenticeship,STEM,default
212,oliver.nguyen227@learners.net,Oliver,Nguyen,9/14/12,participant,801-685-5350,Salt Lake City,UT,84612,,Retail Store,Both,default
